url,headline,datetime,fact_check_details,organization,caa
https://www.thequint.com/news/webqoof/nirbhaya-helpline-number-launched-fact-check,Don’t Call This Old Nirbhaya Helpline Going Viral After Hyd Case,12/2/19,"This number is now defunct. It was launched in 2015 by the Mumbai Railway Police, and closed in 2018.",The Quint,No
https://www.thequint.com/news/webqoof/italy-president-crying-coronavirus-deaths-fact-check,"No, This Isn’t the Italian President Crying Over COVID-19 Deaths",3/23/20,The image is of Brazilian President Jair Bolsonaro who broke down at a thanksgiving service in December 2019.,The Quint,No
https://www.thequint.com/news/webqoof/assam-detention-camps-viral-images-fact-check,"Images of Detention Camps in US, La Romana Shared as Assam Camps",12/16/19,"The images circulating online are not of a detention camp in Assam. In fact, they are not even from India. ",The Quint,Yes
https://www.thequint.com/news/webqoof/dettol-products-prevents-novel-coronavirus-fact-check,Dettol Products Work Against Novel Coronavirus? Here’s The Truth,3/11/20,Viral images  on social media claim that Dettol products are effective against novel coronavirus.,The Quint,No
https://www.thequint.com/news/webqoof/rss-people-burning-the-constitution-fact-check,"RSS Workers Burning the Constitution? No, Video Is Old & Unrelated",1/23/20,"A video with a claim that RSS people are burning the constitution is viral, but the video is old and unrelated.",The Quint,No
https://www.thequint.com/news/webqoof/manmohan-singh-congress-hypocrisy-citizenship-bill-fact-check,Did Manmohan Singh Change His Stance on CAB? Here’s A Fact-Check,12/11/19,Right-wing websites and BJP IT Cell Chief Amit Malviya are claiming that Dr Singh supported Citizenship Bill in 2003,The Quint,Yes
https://www.thequint.com/news/webqoof/jnu-attack-girls-abusing-on-campus-fact-check,JNU Girls Abusing on Campus? Video Is Neither Recent Nor From JNU,1/9/20,"A false video from XLRI, Jamshedpur is being shared with a claim calling for shutdown of JNU. ",The Quint,Yes
https://www.thequint.com/news/webqoof/italian-doctors-infected-with-covid-19-fact-check,Photo of Couple at Airport Shared as Italian Doctors' Last Moments,3/25/20,The couple was spotted and clicked by an Associated Press (AP) photographer Emilio Morenatti nearly two weeks ago.,The Quint,No
https://www.thequint.com/news/webqoof/citizenship-amendment-act-protest-old-image-fact-check,Old Image Shared as CAA Protestors Vandalising Amar Jawan Memorial,12/15/19,The picture is from 2012 when some protestors had vandalised Amar Jawan Jyoti memorial near CST in Mumbai.,The Quint,Yes
https://www.thequint.com/news/webqoof/aap-mla-amanatullah-khan-communal-tweet-fact-check,Fake Communal Tweet Shared in the Name of AAP MLA Amanatullah Khan,2/13/20,"While Khan had tweeted about the leads at noon, he had nowhere referred to Shaheen Bagh or Islam in his tweet. ",The Quint,Yes
