url,headline,datetime,organization,caa
https://www.altnews.in/no-the-elderly-man-pelting-stone-in-kanpur-is-not-muslim-cleric-from-muzaffarnagar/,"No, the elderly man pelting stone in Kanpur is not Muslim cleric from Muzaffarnagar",12/31/19,Alt News,No
https://www.altnews.in/caa-protest-video-of-jabalpur-police-vandalising-vehicles-shared-as-up-police/,CAA Protest: Video of Jabalpur police vandalising vehicles shared as UP police,12/31/19,Alt News,Yes
https://www.altnews.in/no-danish-kaneria-is-not-among-pakistani-players-offering-namaz-in-this-photo/,"No, Danish Kaneria is not among Pakistani players offering Namaz in this photo",12/30/19,Alt News,No
https://www.altnews.in/video-from-sri-lanka-shared-as-muslims-beaten-in-a-detention-centre-in-assam/,Video from Sri Lanka shared as Muslims beaten in a detention centre in Assam,12/30/19,Alt News,No
https://www.altnews.in/caa-protests-old-video-from-pakistan-shared-as-cow-slaughtered-on-indian-flag-in-hyderabad/,CAA Protests: Old video from Pakistan shared as cow slaughtered on Indian flag in Hyderabad,12/30/19,Alt News,Yes
https://www.altnews.in/caa-protests-video-from-pakistan-shared-as-up-police-beating-women/,CAA Protests: Video from Pakistan shared as UP police beating women,12/30/19,Alt News,Yes
https://www.altnews.in/no-anti-caa-protesters-did-not-chant-pakistan-zindabad-in-lucknow-rally/,"No, anti-CAA protesters did not chant ‘Pakistan zindabad’ in Lucknow rally",12/29/19,Alt News,Yes
https://www.altnews.in/old-video-of-railway-station-vandalised-in-bangladesh-shared-as-kolkata/,Old video of railway station vandalised in Bangladesh shared as Kolkata,12/28/19,Alt News,Yes
https://www.altnews.in/video-of-leopard-attacking-dog-in-nashik-maharashtra-shared-as-gujarat/,"Video of leopard attacking dog in Nashik, Maharashtra shared as Gujarat",12/28/19,Alt News,No
https://www.altnews.in/pak-users-share-video-of-bull-festival-as-cows-unleashed-on-indian-policemen/,Pak users share video of bull festival as cows unleashed on Indian policemen,12/27/19,Alt News,No
https://www.altnews.in/freight-train-traversing-the-famous-tehachapi-loop-in-us-viral-as-china-germany-train-route/,Freight train traversing the famous ‘Tehachapi Loop’ in US viral as China-Germany train route,12/27/19,Alt News,No
https://www.altnews.in/meme-shared-as-pro-modi-cartoon-on-caa-and-nrc-published-by-european-newspaper/,Meme shared as pro-Modi cartoon on CAA and NRC published by European newspaper,12/26/19,Alt News,Yes
https://www.altnews.in/newsx-posed-its-journalists-as-students-during-a-debate-on-anti-caa-protests/,NewsX posed journalists as students during a debate on anti-CAA protests,12/26/19,Alt News,Yes
https://www.altnews.in/alt-news-investigates-the-attack-on-a-temple-in-phulwari-sharif-bihar-during-anti-caa-protests/,"Alt News investigates the attack on a temple in Phulwari Sharif, Bihar during anti-CAA protests",12/26/19,Alt News,Yes
https://www.altnews.in/video-from-2011-viral-with-false-claim-that-muslim-man-wore-sikh-turban-during-anti-caa-protest/,Video from 2011 viral with false claim that Muslim man wore Sikh turban during anti-CAA protest,12/26/19,Alt News,Yes
https://www.altnews.in/image-from-2016-shared-as-muslim-man-hurling-stones-in-recent-spate-of-caa-protests/,Image from 2016 shared as Muslim man hurling stones in recent spate of CAA protests,12/25/19,Alt News,Yes
https://www.altnews.in/fake-account-impersonates-nita-ambani-tweets-in-favour-of-pm-modi-amit-shah/,"Fake account impersonates Nita Ambani, tweets in support of PM Modi and Amit Shah",12/25/19,Alt News,Yes
