url,headline,datetime,organization,caa
https://www.boomlive.in/health/does-drinking-alcohol-prevent-coronavirus-6935,Does Drinking Alcohol Prevent Coronavirus?,2/19/20,Boomlive,No
https://www.boomlive.in/false-suicide-attempt-over-government-lic-plan,False: Suicide Attempt Over Government's LIC Stake Sale Plan,2/3/20,Boomlive,No
https://www.boomlive.in/world/can-drinking-bubble-tea-cause-gallstones-6918,Can Drinking Bubble Tea Cause Gallstones?,2/17/20,Boomlive,No
https://www.boomlive.in/boom-reports/saudi-woman-marries-minor-son-6976,Saudi Woman Marries Minor Son?,2/24/20,Boomlive,No
https://www.boomlive.in/health/false-coronavirus-found-in-broiler-chickens-6757,False: Coronavirus Found In Broiler Chickens,2/4/20,Boomlive,No
https://www.boomlive.in/fake-news/missing-child-video-wrongly-portrayed-6360,Missing Child Video Wrongly Portrayed,12/20/19,Boomlive,No
https://www.boomlive.in/is-this-jamia-millia-islamia-fake-female-protester,Is This Jamia Millia Islamia's 'Fake' Female Protester?,12/16/19,Boomlive,Yes
https://www.boomlive.in/fact-file/can-cops-enter-university-campuses-6348,Can Cops Enter University Campuses?,12/19/19,Boomlive,Yes
https://www.boomlive.in/boom-reports/sundar-pichai-commented-on-caa-6410,Sundar Pichai Commented On CAA?,12/26/19,Boomlive,Yes
https://www.boomlive.in/health/viral-coronavirus-advisory-is-not-from-unicef-7171,Viral Coronavirus 'Advisory' Is Not From UNICEF,3/9/20,Boomlive,No
"https://www.boomlive.in/man-thrashed-for-lewd-behaviour,-communal-spin-viral","Man Thrashed For Lewd Behaviour, Communal Spin Viral",1/21/20,Boomlive,No
https://www.boomlive.in/fake-news/chhatrapati-shivaji-maharaj-on-100-bill-6589,Chhatrapati Shivaji Maharaj On $100 Bill?,1/17/20,Boomlive,No
https://www.boomlive.in/factcheck/did-nasa-record-om-from-the-sun-6469,Did NASA Record 'Om' From The Sun?,1/4/20,Boomlive,No
https://www.boomlive.in/fake-news/did-these-books-predict-the-coronavirus-outbreak,Did These Books Predict The Coronavirus Outbreak?,3/13/20,Boomlive,No
https://www.boomlive.in/fake-news/sundar-pichai-quote-on-muslims-revived-6312,Sundar Pichai Quote On Muslims Revived,12/17/19,Boomlive,Yes
https://www.boomlive.in/health/ayush-ministrys-coronavirus-prevention-notification-raises-eyebrows-6728,AYUSH Ministry's Coronavirus Prevention Notification Raises Eyebrows,1/31/20,Boomlive,No
https://www.boomlive.in/fast-check/fake-mla-anil-upadhyay-makes-a-comeback-6355,Fake MLA 'Anil Upadhyay' Makes A Comeback,12/20/19,Boomlive,No
https://www.boomlive.in/health/boiled-garlic-water-for-treating-coronavirus-not-really-6737,Boiled Garlic Water For Treating Coronavirus? Not Really,2/1/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/false-rail-tanker-stamped-with-covid-19-7397,False: Rail Tanker Stamped With 'COVID-19',3/27/20,Boomlive,No
https://www.boomlive.in/world/no-zambias-army-has-not-imposed-a-curfew-7065,"No, Zambia's Army Has Not Imposed A Curfew",2/29/20,Boomlive,No
https://www.boomlive.in/health/coronavirus-patented-why-social-media-posts-are-misleading-6661,Coronavirus Patented? Why Social Media Posts Are Misleading,1/25/20,Boomlive,No
https://www.boomlive.in/fake-news/how-celebs-amplified-misinformation-around-janta-curfew-7317,How Celebs Amplified Misinformation Around Janta Curfew,3/22/20,Boomlive,No
https://www.boomlive.in/world/urban-myth-toothpaste-acne-hack-debunked-by-dermatologists-7330,Urban Myth: Toothpaste Acne Hack Debunked By Dermatologists,3/23/20,Boomlive,No
https://www.boomlive.in/fake-news/swarajya-peddles-misinformation-about-deepika-padukones-chhapaak-6515,Swarajya Peddles Misinformation About Deepika Padukone's Chhapaak,1/8/20,Boomlive,No
https://www.boomlive.in/fake-news/false-chicken-infected-with-coronavirus-in-bangalore-6850,False: Chicken Infected With Coronavirus In Bangalore,2/11/20,Boomlive,No
https://www.boomlive.in/world/these-pink-tusk-anti-poaching-images-are-photoshopped-7188,These 'Pink Tusk' Anti Poaching Images Are Photoshopped,3/12/20,Boomlive,No
