datetime,organization,caa,yearmonth,count
2019-12-01,Boomlive,No,2019-12-01,2
2019-12-01,India Today,No,2019-12-01,2
2019-12-02,Alt News,No,2019-12-01,5
2019-12-02,Boomlive,No,2019-12-01,1
2019-12-02,India Today,No,2019-12-01,2
2019-12-02,The Quint,No,2019-12-01,4
2019-12-03,Alt News,No,2019-12-01,2
2019-12-03,The Quint,No,2019-12-01,2
2019-12-03,Vishvas News,No,2019-12-01,3
2019-12-04,Alt News,No,2019-12-01,2
2019-12-04,Alt News,Yes,2019-12-01,1
2019-12-04,Boomlive,No,2019-12-01,3
2019-12-04,India Today,No,2019-12-01,1
2019-12-04,The Quint,No,2019-12-01,1
2019-12-04,Vishvas News,No,2019-12-01,1
2019-12-05,Alt News,No,2019-12-01,4
2019-12-05,India Today,No,2019-12-01,1
2019-12-05,The Quint,No,2019-12-01,1
2019-12-05,Vishvas News,No,2019-12-01,3
2019-12-06,Alt News,No,2019-12-01,5
2019-12-06,Boomlive,No,2019-12-01,2
2019-12-06,Boomlive,Yes,2019-12-01,1
2019-12-06,India Today,No,2019-12-01,1
2019-12-06,Vishvas News,No,2019-12-01,1
2019-12-07,Alt News,No,2019-12-01,3
2019-12-08,Boomlive,No,2019-12-01,1
2019-12-08,India Today,No,2019-12-01,2
2019-12-08,Vishvas News,No,2019-12-01,1
2019-12-09,Alt News,No,2019-12-01,3
2019-12-09,Boomlive,No,2019-12-01,3
2019-12-09,India Today,No,2019-12-01,2
2019-12-09,The Quint,No,2019-12-01,2
2019-12-09,Vishvas News,No,2019-12-01,4
2019-12-10,Alt News,No,2019-12-01,5
2019-12-10,India Today,No,2019-12-01,1
2019-12-10,Vishvas News,No,2019-12-01,2
2019-12-11,AFP,No,2019-12-01,1
2019-12-11,Alt News,No,2019-12-01,3
2019-12-11,Alt News,Yes,2019-12-01,1
2019-12-11,Boomlive,No,2019-12-01,1
2019-12-11,India Today,No,2019-12-01,1
2019-12-11,The Quint,Yes,2019-12-01,1
2019-12-11,Vishvas News,Yes,2019-12-01,1
2019-12-12,AFP,No,2019-12-01,1
2019-12-12,Alt News,No,2019-12-01,2
2019-12-12,Alt News,Yes,2019-12-01,3
2019-12-12,Boomlive,No,2019-12-01,1
2019-12-12,India Today,No,2019-12-01,2
2019-12-12,The Quint,No,2019-12-01,3
2019-12-12,Vishvas News,No,2019-12-01,1
2019-12-12,Vishvas News,Yes,2019-12-01,1
2019-12-13,Alt News,No,2019-12-01,2
2019-12-13,Alt News,Yes,2019-12-01,1
2019-12-13,Boomlive,No,2019-12-01,1
2019-12-13,India Today,No,2019-12-01,2
2019-12-13,The Quint,No,2019-12-01,1
2019-12-13,Vishvas News,No,2019-12-01,2
2019-12-14,Alt News,No,2019-12-01,1
2019-12-14,Alt News,Yes,2019-12-01,3
2019-12-14,Boomlive,No,2019-12-01,1
2019-12-14,Boomlive,Yes,2019-12-01,1
2019-12-14,Vishvas News,No,2019-12-01,1
2019-12-15,Alt News,Yes,2019-12-01,2
2019-12-15,India Today,No,2019-12-01,1
2019-12-15,India Today,Yes,2019-12-01,1
2019-12-15,The Quint,Yes,2019-12-01,1
2019-12-16,Alt News,Yes,2019-12-01,3
2019-12-16,Boomlive,Yes,2019-12-01,2
2019-12-16,India Today,Yes,2019-12-01,1
2019-12-16,The Quint,Yes,2019-12-01,3
2019-12-17,Alt News,Yes,2019-12-01,4
2019-12-17,Boomlive,Yes,2019-12-01,1
2019-12-17,India Today,No,2019-12-01,1
2019-12-17,India Today,Yes,2019-12-01,1
2019-12-17,Vishvas News,No,2019-12-01,1
2019-12-17,Vishvas News,Yes,2019-12-01,1
2019-12-18,Alt News,No,2019-12-01,1
2019-12-18,Alt News,Yes,2019-12-01,2
2019-12-18,Boomlive,Yes,2019-12-01,1
2019-12-18,The Quint,No,2019-12-01,1
2019-12-18,The Quint,Yes,2019-12-01,2
2019-12-18,Vishvas News,No,2019-12-01,1
2019-12-19,Alt News,No,2019-12-01,1
2019-12-19,Alt News,Yes,2019-12-01,6
2019-12-19,Boomlive,Yes,2019-12-01,1
2019-12-19,India Today,Yes,2019-12-01,1
2019-12-19,The Quint,Yes,2019-12-01,1
2019-12-19,Vishvas News,No,2019-12-01,1
2019-12-20,Alt News,No,2019-12-01,1
2019-12-20,Alt News,Yes,2019-12-01,5
2019-12-20,Boomlive,No,2019-12-01,3
2019-12-20,Boomlive,Yes,2019-12-01,1
2019-12-20,Vishvas News,No,2019-12-01,2
2019-12-21,Alt News,No,2019-12-01,1
2019-12-21,Alt News,Yes,2019-12-01,2
2019-12-21,Boomlive,No,2019-12-01,1
2019-12-21,Boomlive,Yes,2019-12-01,2
2019-12-21,The Quint,Yes,2019-12-01,1
2019-12-23,Alt News,Yes,2019-12-01,3
2019-12-23,Boomlive,No,2019-12-01,1
2019-12-23,Boomlive,Yes,2019-12-01,1
2019-12-23,Vishvas News,No,2019-12-01,1
2019-12-23,Vishvas News,Yes,2019-12-01,1
2019-12-24,Alt News,No,2019-12-01,2
2019-12-24,Alt News,Yes,2019-12-01,2
2019-12-24,The Quint,Yes,2019-12-01,1
2019-12-24,Vishvas News,No,2019-12-01,2
2019-12-25,Alt News,Yes,2019-12-01,3
2019-12-26,Alt News,Yes,2019-12-01,4
2019-12-26,Boomlive,Yes,2019-12-01,2
2019-12-26,Vishvas News,No,2019-12-01,3
