url,headline,datetime,fact_check_details,organization,caa
https://www.vishvasnews.com/politics/rahul-gandhi-fake-tweet-viral-name-of-cab/,Fact Check : नागरिकता संशोधन विधेयक पर राहुल गांधी के नाम से वायरल हुआ फर्जी ट्वीट,11-Dec-19,Claim Review : दावा किया जा रहा है कि राहुल गांधी ने नागरिकता बिल को लेकर विवादित ट्वीट किया,Vishvas News,Yes
https://www.vishvasnews.com/viral/fact-check-fake-news-about-himalaya-drup-company-viral/,Fact Check: हिमालया कंपनी के सीईओ की तस्वीर गलत नाम और दावे के साथ हो रही है वायरल,18-Mar-20,Claim Review : This is Mohammed Menal. He is the owner of Himalaya Ayurvedic products. He donates 10% of his income to Jihadist’s.,Vishvas News,No
https://www.vishvasnews.com/viral/fact-check-the-image-of-floating-rock-is-photoshopped/,Fact Check: हवा में तैरती चट्टान की यह तस्वीर फोटोशॉप्ड है,9-Dec-19,"Claim Review : Floating Rock"" in Jerusalem floating in air from thousands of years After many researches still there is no explanation on it !Amazing!!!! — feeling Amazing .",Vishvas News,No
https://www.vishvasnews.com/politics/quick-fact-check-these-claims-regarding-pungnur-cow-are-fake/,"        Quick Fact Check: नहीं चढ़ाया जाता तिरुपति मंदिर में सिर्फ एक विशेष गाय का दूध, पुंगनूर गाय को लेकर वायरल दावा गलत है      ",11-Feb-20,Claim Review : इस गाय की कीमत है 12 करोड़ रूपये और यह प्रतिदिन करीब 100 लीटर दूध देती है। यह पुंगनुर गाय है। केवल इसी गाय के दूध से ही तिरुपति भगवान का अभिषेक होता है।इसको देखना बहुत ही शुभ माना गया है। ज्यादा से ज्यादा #शेयर करे ताकि ओर भी दर्शन कर सके,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-cocaine-kills-coronavirus-is-fake/,Fact Check: Post claiming cocaine kills coronavirus is fake,18-Feb-20,Claim Review : cocaine kills coronavirus,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-weed-kills-coronavirus-is-fake/,Fact Check: Post claiming weed kills coronavirus is fake,13-Feb-20,Claim Review : Weed kills coronavirus,Vishvas News,No
https://www.vishvasnews.com/society/fact-check-no-corona-virus-in-fish-in-madhya-pradesh/,Fact Check: अनूपपुर में मछलियों में कोरोना वायरस फैलने की खबर झूठी है,19-Mar-20,Claim Review : दावा किया जा रहा है कि मछली में कोरोना वायरस पाया गया,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-photo-of-obama-holding-ambedkars-photo-is-fake/,Fact Check: ओबामा की तस्वीर में आंबेडकर की फोटो को चिपकाया गया है,4-Feb-20,"Claim Review : हमें गर्व है कि आंबेडकर जैसा महान छात्र हमारी यूनिवर्सिटी से पढ़ कर गया। उसने भारत का संविधान बना कर इस देश पर बड़ा उपकार किया है। बराक ओबामा, राष्ट्रपति सयुंक्त राष्ट्र अमेरिका।",Vishvas News,No
https://www.vishvasnews.com/viral/fact-check-no-rbi-has-not-released-1000-rupess-note/,"        Fact Check: RBI ने नहीं जारी किया 1000 रुपये का नया नोट, फर्जी तस्वीर हो रही वायरल      ",2-Mar-20,Claim Review : करेंसी मार्केट में आया 1000 रुपये का नया नोट,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-alcohol-kills-coronavirus-is-fake/,Fact Check: Post claiming alcohol kills coronavirus is fake,2-Mar-20,Claim Review : Alcohol kills coronavirus,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-photoshoped-photo-of-uddhav-thackeray-house-matoshree-viral/,"        Fact Check : उद्धव ठाकरे के घर ‘मातोश्री’ की फोटोशॉप्‍ड तस्‍वीर वायरल, असली फोटो में सोनिया नहीं, बाल ठाकरे मौजूद थे      ",5-Dec-19,Claim Review : दावा किया जा रहा है कि मातोश्री के बाहर सोनिया गांधी का कटआउट लगा,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-misinformation-related-to-coronavirus-outbreak-getting-viral/,"        Fact Check: Neither this video shows effects of Coronavirus nor you need to avoid ice-cream, cold drink for 90 days﻿      ",28-Jan-20,"Claim Review : one should avoid cold drinks, ice creams, any type of preserved foods, milkshake, etc. older than 48 hours, for at least 90 days from today as you can be affected with coronavirus",Vishvas News,No
https://www.vishvasnews.com/politics/old-photo-of-hukumdev-and-smriti-irani-viral-name-of-chinyamand/,"        Fact Check : स्मृति ईरानी चिन्‍मयानंद का नहीं, हुकुमदेव का अभिवादन कर रही थीं      ",18-Dec-19,Claim Review : दावा किया जा रहा है कि तस्‍वीर में स्मृति ईरानी चिन्‍मयानंद से आशीर्वाद ले रही हैं।,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-fake-image-of-indian-airforce-trishul-formation-going-viral/,Fact Check: यह तस्वीर भारतीय एयरफोर्स विमान द्वारा बनाये गए त्रिशूल की नहीं है,10-Feb-20,Claim Review : TRISHUL formation by 3 Sukhoi 30 MKI aircraft at R Day 2020,Vishvas News,No
https://www.vishvasnews.com/politics/old-video-of-bhilwara-viral-name-of-cab-protest-in-delhi/,"        Fact Check : दिल्‍ली में नहीं हुई थी बुजुर्ग व्‍यक्ति की पिटाई, वायरल वीडियो भीलवाड़ा की पुरानी घटना का है      ",26-Dec-19,Claim Review : दावा किया जा रहा है कि दिल्‍ली में सीएए आंदोलन के दौरान एक बुजुर्ग को पीटा गया।,Vishvas News,Yes
